iter	Accuracy	MultiCrossEntropy
115	0.935141159	0.002831532883
116	0.9358098068	0.002800091259
117	0.9371471025	0.002750309506
118	0.9371471025	0.002739346448
119	0.938410104	0.002677199756
120	0.9393016345	0.002649470618
121	0.9398959881	0.002621099701
122	0.9411589896	0.002574623966
123	0.9417533432	0.002553536787
124	0.9420505201	0.002523155891
125	0.9421248143	0.002514449261
126	0.9426448737	0.002498945943
127	0.9426448737	0.002467478358
128	0.9436849926	0.002436587436
129	0.9443536404	0.002423214407
130	0.9445022288	0.002393229344
131	0.9451708767	0.002375981718
132	0.9456166419	0.002353611208
133	0.9466567608	0.002314506547
134	0.9478454681	0.002287046213
135	0.9479940565	0.002281822154
136	0.9491827637	0.002245306312
137	0.9494799406	0.002234263426
138	0.9505943536	0.002215009812
139	0.9512630015	0.002185997052
140	0.9509658247	0.00216483607
141	0.9524517088	0.002131350326
142	0.9520059435	0.002126401151
143	0.9524517088	0.002113775517
144	0.9531203566	0.002087732489
145	0.9533432392	0.002076969712
146	0.9535661218	0.002071960783
147	0.9538632987	0.002055707436
148	0.9549034175	0.002034805057
149	0.9548291233	0.00201323412
150	0.9559435364	0.001986549904
151	0.9560178306	0.001971598724
152	0.9569836553	0.001946380769
153	0.9575780089	0.001924259658
154	0.958692422	0.001890179841
155	0.9587667162	0.00187868628
156	0.959435364	0.00185438878
157	0.9603268945	0.001838737791
158	0.9605497771	0.001829880536
159	0.961218425	0.001809251014
160	0.961589896	0.001794380969
161	0.962332838	0.001774836194
162	0.9633729569	0.001751567995
163	0.9632243685	0.001733621973
164	0.9635958395	0.001722284019
165	0.9636701337	0.001711509198
166	0.9644130758	0.00169467009
167	0.9640416048	0.001679369126
168	0.9640416048	0.00167594941
169	0.9638930163	0.001673519371
170	0.9653789004	0.001659143454
171	0.9655274889	0.001639061237
172	0.9656760773	0.001633128736
173	0.9661961367	0.001618062407
174	0.9665676077	0.001599651418
175	0.9683506686	0.001572653603
176	0.9679791976	0.001562745038
177	0.9685735513	0.001551156358
178	0.9690193165	0.001535263894
179	0.9693907875	0.001514263023
180	0.9696136701	0.001506676683
181	0.9695393759	0.001499838791
182	0.9702080238	0.001488650509
183	0.9708023774	0.0014738066
184	0.9713224368	0.001464139164
185	0.9715453195	0.00145277211
186	0.9715453195	0.001443485844
187	0.9720653789	0.001427677541
188	0.9725854383	0.001414972883
189	0.9730312036	0.001396168092
190	0.9742942051	0.001382455293
191	0.9745913819	0.001375162692
192	0.9749628529	0.001368732745
193	0.9751857355	0.001358314872
194	0.9755572065	0.001342699953
195	0.9760029718	0.001323865062
196	0.9762258544	0.001316699546
197	0.9765230312	0.001300117811
198	0.9768945022	0.001287587631
199	0.9772659733	0.001283481529
200	0.9769687964	0.001278055184
201	0.9777860327	0.001265381814
202	0.9779346211	0.001253595986
203	0.9785289747	0.001240605407
204	0.9784546805	0.001233590013
205	0.9789004458	0.001226360442
206	0.9791233284	0.001211967383
207	0.9792719168	0.001206381628
208	0.9794205052	0.001194686603
209	0.9794947994	0.001189820485
210	0.9802377415	0.001180480309
211	0.9801634473	0.001173617409
212	0.9806092125	0.001163800673
213	0.9807578009	0.001157060279
214	0.9806835067	0.001155344672
215	0.9806835067	0.001149001512
216	0.9809063893	0.001140236403
217	0.9813521545	0.001129750109
218	0.9813521545	0.001122142738
219	0.9815750371	0.001112787376
220	0.982243685	0.001104073118
221	0.9824665676	0.001093924033
222	0.9828380386	0.001084780661
223	0.9831352155	0.001075042367
224	0.9831352155	0.001068093742
225	0.9834323923	0.001058679159
226	0.9838038633	0.001046262292
227	0.9835809807	0.001043500011
228	0.9836552749	0.001040568913
229	0.9846210996	0.001026657218
230	0.9849925706	0.001021830116
231	0.9854383358	0.001011151559
232	0.9857355126	0.001004942778
233	0.9859583952	0.0009982525785
234	0.9859583952	0.0009939129812
235	0.9860326895	0.0009868649281
236	0.9861069837	0.0009770219962
237	0.9860326895	0.0009718714041
238	0.9861812779	0.0009613131854
239	0.9872956909	0.0009489589647
240	0.9874442793	0.0009448543414
241	0.9875185736	0.0009346326844
242	0.9877414562	0.0009270791554
243	0.988038633	0.0009224418646
244	0.9881872214	0.0009177207764
245	0.9882615156	0.0009161595971
246	0.9883358098	0.0009093544724
247	0.9882615156	0.0009039806726
248	0.9885586924	0.0008986049435
249	0.9886329866	0.0008935533328
250	0.9892273403	0.0008862190578
251	0.9892273403	0.0008778222352
252	0.9895245171	0.0008707448991
253	0.9897473997	0.0008672420906
254	0.9898216939	0.0008630768758
255	0.9898216939	0.0008568703871
256	0.9900445765	0.0008493197984
257	0.9903417533	0.0008424673862
258	0.990564636	0.0008361189955
